# days,inflow_mean,inflow_low,inflow_high,release_mean,release_low,release_high,height_mean,height_low,height_high,demand
1.400000000000000000e+01,8.842923076923075598e+01,5.239985931897378180e+01,1.244586022194877302e+02,9.603153846153848860e+01,6.826192772047733115e+01,1.238011492025996461e+02,3.295384615384615579e-01,-8.352395046851079918e-02,7.426008735454339149e-01,8.823399999999999466e+01
1.500000000000000000e+01,8.556153846153844711e+01,4.936897359692448362e+01,1.217541033261524035e+02,9.614123076923078770e+01,6.880187691339801859e+01,1.234805846250635568e+02,3.233076923076923515e-01,-8.411032863269546356e-02,7.307257132480802220e-01,8.823399999999999466e+01
1.600000000000000000e+01,8.567538461538464389e+01,5.207116770615075296e+01,1.192796015246185277e+02,9.584630769230768976e+01,6.897821379929423813e+01,1.227144015853211414e+02,3.170769230769233116e-01,-8.525463968012980676e-02,7.194084858339764299e-01,8.823399999999999466e+01
1.700000000000000000e+01,8.306153846153844711e+01,5.515377448910903979e+01,1.109693024339678544e+02,9.551707692307689967e+01,6.956272861550027642e+01,1.214714252306535229e+02,3.094615384615383435e-01,-8.670579514008225352e-02,7.056288720631589406e-01,8.823399999999999466e+01
1.800000000000000000e+01,8.273230769230771386e+01,4.938132981393378884e+01,1.160832855706816389e+02,9.527507692307692366e+01,6.961184892759808918e+01,1.209383049185557581e+02,3.018461538461537641e-01,-9.087959625549085763e-02,6.945719039477984413e-01,8.823399999999999466e+01
1.900000000000000000e+01,8.249076923076923151e+01,5.062035988736769099e+01,1.143611785741707649e+02,9.630107692307690570e+01,6.974844940580460673e+01,1.228537044403492047e+02,2.942307692307692402e-01,-9.386044800998233351e-02,6.823219864715208693e-01,8.823399999999999466e+01
2.000000000000000000e+01,8.106307692307692037e+01,5.149159081682002181e+01,1.106345630293338189e+02,9.617369230769233468e+01,6.997127212767955484e+01,1.223761124877051145e+02,2.851538461538462021e-01,-9.906561159911075887e-02,6.693733039068031632e-01,8.823399999999999466e+01
2.100000000000000000e+01,8.403538461538460069e+01,4.779846153846151680e+01,1.202723076923076917e+02,9.521338461538459796e+01,6.935847255258407529e+01,1.210682966781851206e+02,2.779230769230768283e-01,-1.023186400328740531e-01,6.581647938790277097e-01,8.823399999999999466e+01
2.200000000000000000e+01,8.293076923076921503e+01,5.032258751524113904e+01,1.155389509462972910e+02,9.500461538461540556e+01,6.929771400194726994e+01,1.207115167672835412e+02,2.706153846153844800e-01,-1.060241162464708453e-01,6.472548854772397497e-01,8.823399999999999466e+01
2.300000000000000000e+01,8.363846153846156994e+01,5.165287010776269483e+01,1.156240529691604451e+02,9.556938461538460672e+01,6.943548709470657343e+01,1.217032821360626400e+02,2.638461538461538969e-01,-1.075480688324619294e-01,6.352403765247697232e-01,8.823399999999999466e+01
2.400000000000000000e+01,8.536153846153843006e+01,5.407041073248058183e+01,1.166526661905962783e+02,9.467876923076926232e+01,6.829483172164816551e+01,1.210627067398903591e+02,2.577692307692308615e-01,-1.113649232569701719e-01,6.269033847954319505e-01,8.823399999999999466e+01
2.500000000000000000e+01,8.420307692307692093e+01,4.894491706345873894e+01,1.194612367826950958e+02,9.491507692307692423e+01,6.867266251005364097e+01,1.211574913361002075e+02,2.515384615384615441e-01,-1.155539844548133521e-01,6.186309075317364403e-01,8.823399999999999466e+01
2.600000000000000000e+01,8.496461538461538510e+01,5.009965201153958958e+01,1.198295787576911806e+02,9.579246153846150946e+01,6.893154380221994870e+01,1.226533792747030702e+02,2.456153846153846243e-01,-1.206805315846899429e-01,6.119113008154591915e-01,8.823399999999999466e+01
2.700000000000000000e+01,8.867846153846154778e+01,4.987771415348021975e+01,1.274792089234428829e+02,9.528892307692308350e+01,6.893913515641750678e+01,1.216387109974286602e+02,2.413846153846154474e-01,-1.189330945201378109e-01,6.017023252893687335e-01,8.823399999999999466e+01
2.800000000000000000e+01,9.530153846153845620e+01,3.782159281543255958e+01,1.527814841076443599e+02,9.527723076923076917e+01,6.975259334950854395e+01,1.208018681889529944e+02,2.413846153846153086e-01,-1.211985397380381246e-01,6.039677705072687974e-01,8.823399999999999466e+01
2.900000000000000000e+01,8.377076923076920423e+01,4.804266039547334088e+01,1.194988780660650605e+02,9.579800000000001603e+01,7.058290945119144055e+01,1.210130905488085915e+02,2.345384615384615290e-01,-1.251352400267670695e-01,5.942121631036900720e-01,8.823399999999999466e+01
3.000000000000000000e+01,8.312923076923074461e+01,5.303486777508068428e+01,1.132235937633808049e+02,9.542169230769233934e+01,6.993816474308513875e+01,1.209052198722995399e+02,2.269999999999999518e-01,-1.299419258948695532e-01,5.839419258948694846e-01,8.823399999999999466e+01
